participant,condition,stimulus,item1,item2,item3,item4,item5,vt
0,1,1,4.0,4.0,3.0,4.0,4.0,3.8
1,1,2,4.0,4.0,4.0,6.0,4.0,4.4
2,1,3,5.0,4.0,4.0,3.0,5.0,4.2
3,1,4,5.0,6.0,5.0,5.0,3.0,4.8
4,1,5,4.0,4.0,5.0,4.0,3.0,4.0
5,1,6,4.0,4.0,3.0,5.0,5.0,4.2
6,1,7,5.0,5.0,3.0,4.0,4.0,4.2
7,1,8,5.0,4.0,3.0,3.0,5.0,4.0
8,1,9,4.0,4.0,4.0,4.0,5.0,4.2
9,1,10,4.0,4.0,4.0,3.0,4.0,3.8
10,1,11,4.0,4.0,5.0,4.0,5.0,4.4
11,1,12,4.0,4.0,4.0,4.0,3.0,3.8
12,1,13,4.0,5.0,4.0,5.0,5.0,4.6
13,1,14,2.0,4.0,4.0,5.0,4.0,3.8
14,1,15,3.0,5.0,3.0,4.0,4.0,3.8
15,1,16,4.0,4.0,6.0,4.0,3.0,4.2
16,1,17,3.0,4.0,3.0,3.0,3.0,3.2
17,1,18,4.0,2.0,4.0,3.0,4.0,3.4
18,1,19,3.0,5.0,6.0,5.0,2.0,4.2
19,1,20,3.0,4.0,4.0,5.0,4.0,4.0
20,1,21,5.0,5.0,4.0,4.0,5.0,4.6
21,1,22,4.0,2.0,4.0,4.0,4.0,3.6
22,1,23,4.0,6.0,4.0,3.0,6.0,4.6
23,1,24,3.0,4.0,5.0,5.0,5.0,4.4
24,1,25,4.0,5.0,2.0,5.0,3.0,3.8
25,1,26,4.0,3.0,5.0,6.0,4.0,4.4
26,1,27,3.0,4.0,3.0,3.0,4.0,3.4
27,1,28,4.0,3.0,4.0,4.0,3.0,3.6
28,1,29,4.0,4.0,4.0,4.0,3.0,3.8
29,1,30,4.0,6.0,4.0,5.0,4.0,4.6
30,1,31,4.0,4.0,3.0,4.0,2.0,3.4
31,1,32,5.0,4.0,4.0,3.0,4.0,4.0
32,1,33,4.0,5.0,6.0,5.0,4.0,4.8
33,1,34,3.0,4.0,3.0,5.0,3.0,3.6
34,1,35,5.0,4.0,4.0,3.0,4.0,4.0
35,1,36,3.0,4.0,3.0,5.0,5.0,4.0
36,1,37,4.0,6.0,4.0,5.0,4.0,4.6
37,1,38,2.0,4.0,4.0,4.0,4.0,3.6
38,1,39,3.0,4.0,3.0,4.0,4.0,3.6
39,1,40,4.0,5.0,4.0,4.0,5.0,4.4
40,1,1,5.0,5.0,5.0,3.0,4.0,4.4
41,1,2,4.0,5.0,4.0,4.0,3.0,4.0
42,1,3,4.0,5.0,5.0,2.0,4.0,4.0
43,1,4,4.0,3.0,3.0,5.0,5.0,4.0
44,1,5,3.0,5.0,3.0,3.0,4.0,3.6
45,1,6,3.0,3.0,4.0,5.0,6.0,4.2
46,1,7,4.0,4.0,5.0,4.0,4.0,4.2
47,1,8,5.0,3.0,4.0,4.0,4.0,4.0
48,1,9,4.0,4.0,4.0,3.0,3.0,3.6
49,1,10,3.0,4.0,4.0,4.0,4.0,3.8
50,1,11,4.0,4.0,3.0,5.0,3.0,3.8
51,1,12,4.0,4.0,4.0,2.0,4.0,3.6
52,1,13,3.0,5.0,5.0,5.0,3.0,4.2
53,1,14,4.0,4.0,4.0,4.0,4.0,4.0
54,1,15,5.0,4.0,4.0,3.0,5.0,4.2
55,1,16,5.0,5.0,4.0,3.0,5.0,4.4
56,1,17,3.0,5.0,4.0,5.0,2.0,3.8
57,1,18,4.0,3.0,4.0,3.0,6.0,4.0
58,1,19,4.0,4.0,6.0,3.0,4.0,4.2
59,1,20,5.0,5.0,4.0,5.0,3.0,4.4
60,1,21,4.0,4.0,4.0,4.0,4.0,4.0
61,1,22,4.0,5.0,3.0,3.0,4.0,3.8
62,1,23,3.0,4.0,5.0,4.0,3.0,3.8
63,1,24,3.0,4.0,4.0,3.0,4.0,3.6
64,1,25,5.0,4.0,3.0,5.0,4.0,4.2
65,1,26,5.0,4.0,5.0,5.0,4.0,4.6
66,1,27,4.0,3.0,5.0,4.0,3.0,3.8
67,1,28,5.0,3.0,4.0,4.0,3.0,3.8
68,1,29,4.0,5.0,3.0,5.0,4.0,4.2
69,1,30,3.0,3.0,5.0,4.0,4.0,3.8
70,1,31,4.0,3.0,3.0,3.0,4.0,3.4
71,1,32,5.0,2.0,5.0,4.0,5.0,4.2
72,1,33,4.0,3.0,2.0,6.0,4.0,3.8
73,1,34,5.0,3.0,5.0,3.0,4.0,4.0
74,1,35,2.0,5.0,3.0,4.0,5.0,3.8
75,1,36,5.0,5.0,5.0,4.0,3.0,4.4
76,1,37,4.0,3.0,4.0,4.0,3.0,3.6
