participant,condition,stimulus,item1,item2,item3,item4,item5,vt
1,1,1,5,5,4,4,5,4.6
1,2,1,5,4,5,3,4,4.2
1,3,1,5,5,4,4,4,4.4
2,1,1,5,4,4,5,4,4.4
2,2,1,4,3,3,4,3,3.4
2,3,1,4,4,5,4,3,4.0
3,1,1,4,4,4,4,4,4.0
3,2,1,3,3,4,5,4,3.8
3,3,1,3,4,3,3,3,3.2
4,1,1,4,4,3,3,4,3.6
4,2,1,3,3,4,2,4,3.2
4,3,1,3,3,4,4,2,3.2
5,1,1,4,4,5,4,5,4.4
5,2,1,4,3,3,4,4,3.6
5,3,1,4,4,3,3,4,3.6
6,1,2,5,4,5,4,5,4.6
6,2,2,5,5,5,5,5,5.0
6,3,2,5,5,5,5,5,5.0
7,1,2,5,4,4,5,5,4.6
7,2,2,4,5,5,3,3,4.0
7,3,2,4,3,4,5,4,4.0
8,1,2,3,4,4,4,4,3.8
8,2,2,5,4,4,4,3,4.0
8,3,2,4,4,3,4,4,3.8
9,1,2,5,3,4,4,5,4.2
9,2,2,3,5,4,5,5,4.4
9,3,2,4,5,5,4,4,4.4
10,1,2,4,3,4,5,4,4.0
10,2,2,3,4,3,3,4,3.4
10,3,2,5,4,4,4,4,4.2
11,1,3,5,3,5,4,5,4.4
11,2,3,4,4,4,4,4,4.0
11,3,3,3,3,4,4,4,3.6
12,1,3,5,5,6,5,5,5.2
12,2,3,4,3,4,5,4,4.0
12,3,3,4,5,5,6,4,4.8
13,1,3,4,4,4,3,4,3.8
13,2,3,4,2,3,3,4,3.2
13,3,3,3,4,4,3,3,3.4
14,1,3,5,5,5,4,4,4.6
14,2,3,4,4,3,4,3,3.6
14,3,3,5,4,4,4,4,4.2
15,1,3,4,3,4,3,4,3.6
15,2,3,3,4,3,3,4,3.4
15,3,3,4,4,3,4,4,3.8
16,1,4,6,4,6,5,3,4.8
16,2,4,4,4,4,4,4,4.0
16,3,4,5,5,4,4,4,4.4
17,1,4,4,4,4,4,4,4.0
17,2,4,4,5,3,4,4,4.0
17,3,4,4,5,3,4,4,4.0
18,1,4,4,4,3,5,4,4.0
18,2,4,4,4,4,4,3,3.8
18,3,4,4,3,3,3,3,3.2
19,1,4,5,4,4,5,5,4.6
19,2,4,4,4,3,3,4,3.6
19,3,4,4,3,3,4,4,3.6
20,1,4,5,4,5,5,4,4.6
20,2,4,4,4,4,4,5,4.2
20,3,4,5,4,4,5,4,4.4
21,1,5,4,3,3,5,4,3.8
21,2,5,4,4,4,4,3,3.8
21,3,5,4,3,5,4,4,4.0
22,1,5,4,4,5,5,3,4.2
22,2,5,4,4,5,4,3,4.0
22,3,5,4,4,4,4,4,4.0
23,1,5,3,3,3,3,4,3.2
23,2,5,2,4,3,4,2,3.0
23,3,5,3,3,4,5,3,3.6
24,1,5,6,6,5,5,5,5.4
24,2,5,5,5,5,4,4,4.6
24,3,5,4,6,5,4,5,4.8
25,1,5,5,5,4,5,4,4.6
25,2,5,4,4,4,4,4,4.0
25,3,5,4,5,5,4,4,4.4
26,1,6,3,3,4,4,4,3.6
26,2,6,4,4,4,3,4,3.8
26,3,6,4,4,3,4,3,3.6
27,1,6,3,4,4,3,4,3.6
27,2,6,4,3,3,4,3,3.4
27,3,6,2,3,4,4,4,3.4
28,1,6,4,3,4,4,4,3.8
28,2,6,3,3,2,3,2,2.6
28,3,6,4,3,4,3,3,3.4
29,1,6,5,4,6,4,5,4.8
29,2,6,5,4,3,3,4,3.8
29,3,6,3,4,4,4,4,3.8
30,1,6,4,4,4,4,4,4.0
30,2,6,5,3,4,3,3,3.6
30,3,6,4,2,4,4,3,3.4
31,1,7,4,3,4,4,4,3.8
31,2,7,4,3,4,4,3,3.6
31,3,7,2,3,2,4,3,2.8
32,1,7,5,4,4,5,4,4.4
32,2,7,4,5,6,4,4,4.6
32,3,7,5,5,5,5,4,4.8
33,1,7,4,4,5,3,5,4.2
33,2,7,5,4,4,4,3,4.0
33,3,7,2,3,4,3,4,3.2
34,1,7,4,4,3,3,4,3.6
34,2,7,5,3,4,4,4,4.0
34,3,7,4,4,3,3,4,3.6
35,1,7,4,3,3,3,3,3.2
35,2,7,3,3,3,2,3,2.8
35,3,7,3,3,2,3,2,2.6
36,1,8,4,4,4,4,4,4.0
36,2,8,4,4,4,4,4,4.0
36,3,8,3,4,4,3,2,3.2
37,1,8,4,6,5,5,4,4.8
37,2,8,4,3,4,4,5,4.0
37,3,8,4,5,5,5,4,4.6
38,1,8,4,4,5,3,4,4.0
38,2,8,3,4,3,4,4,3.6
38,3,8,4,4,4,4,4,4.0
39,1,8,4,5,5,5,4,4.6
39,2,8,3,4,4,4,5,4.0
39,3,8,4,4,4,5,4,4.2
40,1,8,4,4,4,5,3,4.0
40,2,8,3,2,4,3,3,3.0
40,3,8,3,3,3,4,3,3.2
41,1,9,4,3,4,5,3,3.8
41,2,9,3,3,4,3,4,3.4
41,3,9,3,4,4,4,3,3.6
42,1,9,6,4,4,4,3,4.2
42,2,9,4,5,2,5,4,4.0
42,3,9,4,4,4,4,5,4.2
43,1,9,3,5,5,4,4,4.2
43,2,9,3,4,4,3,3,3.4
43,3,9,3,4,3,4,3,3.4
44,1,9,3,3,4,5,4,3.8
44,2,9,4,4,4,4,3,3.8
44,3,9,4,3,4,3,4,3.6
45,1,9,4,3,3,3,3,3.2
45,2,9,4,4,4,3,4,3.8
45,3,9,3,4,3,4,4,3.6
46,1,10,4,5,5,5,4,4.6
46,2,10,4,4,5,5,4,4.4
46,3,10,4,4,4,4,3,3.8
47,1,10,4,3,5,4,4,4.0
47,2,10,4,4,4,3,4,3.8
47,3,10,4,4,4,3,5,4.0
48,1,10,4,5,3,4,5,4.2
