participant,condition,stimulus,item1,item2,item3,item4,item5,vt
1,1,1,5,4,4,5,4,4.4
1,2,1,4,5,4,4,4,4.2
1,3,1,5,4,5,5,4,4.6
2,1,1,5,4,4,4,4,4.2
2,2,1,4,4,3,5,4,4.0
2,3,1,4,4,3,4,4,3.8
3,1,1,4,5,5,4,4,4.4
3,2,1,4,5,4,3,4,4.0
3,3,1,4,5,4,4,4,4.2
4,1,1,4,4,5,4,5,4.4
4,2,1,4,4,5,4,4,4.2
4,3,1,4,3,4,4,4,3.8
5,1,1,4,4,4,3,4,3.8
5,2,1,3,4,4,3,4,3.6
5,3,1,3,4,3,4,4,3.6
6,1,2,5,4,4,5,4,4.4
6,2,2,4,3,4,4,5,4.0
6,3,2,2,3,3,4,3,3.0
7,1,2,5,6,4,6,5,5.2
7,2,2,5,4,4,4,5,4.4
7,3,2,3,4,3,4,4,3.6
8,1,2,5,4,5,4,5,4.6
8,2,2,5,3,5,4,5,4.4
8,3,2,3,4,3,4,3,3.4
9,1,2,5,4,4,4,4,4.2
9,2,2,3,3,5,4,4,3.8
9,3,2,3,3,4,3,2,3.0
10,1,2,5,5,5,6,5,5.2
10,2,2,4,5,6,5,4,4.8
10,3,2,4,3,3,3,3,3.2
11,1,3,4,5,5,5,4,4.6
11,2,3,4,4,5,4,4,4.2
11,3,3,5,4,3,4,4,4.0
12,1,3,3,4,4,3,3,3.4
12,2,3,4,3,3,4,4,3.6
12,3,3,4,4,3,5,4,4.0
13,1,3,4,4,5,5,4,4.4
13,2,3,5,4,4,4,2,3.8
13,3,3,4,4,4,4,4,4.0
14,1,3,3,4,5,3,4,3.8
14,2,3,3,4,3,3,4,3.4
14,3,3,4,3,4,4,4,3.8
15,1,3,4,4,4,4,4,4.0
15,2,3,4,4,5,5,4,4.4
15,3,3,3,4,4,4,3,3.6
16,1,4,5,5,5,4,5,4.8
16,2,4,4,5,4,4,4,4.2
16,3,4,5,4,4,4,4,4.2
17,1,4,6,4,5,5,6,5.2
17,2,4,4,5,5,5,4,4.6
17,3,4,4,4,4,5,4,4.2
18,1,4,6,5,5,6,5,5.4
18,2,4,5,5,6,5,6,5.4
18,3,4,6,4,5,5,5,5.0
19,1,4,5,5,5,5,6,5.2
19,2,4,4,6,6,4,5,5.0
19,3,4,4,5,4,6,4,4.6
20,1,4,3,5,5,4,4,4.2
20,2,4,5,5,4,5,5,4.8
20,3,4,4,5,5,4,4,4.4
21,1,5,4,5,4,4,3,4.0
21,2,5,4,5,3,4,3,3.8
21,3,5,4,3,4,3,3,3.4
22,1,5,3,4,3,5,4,3.8
22,2,5,3,3,4,4,3,3.4
22,3,5,4,3,2,3,3,3.0
23,1,5,5,5,5,5,4,4.8
23,2,5,4,4,3,5,5,4.2
23,3,5,5,3,3,4,5,4.0
24,1,5,6,4,4,4,5,4.6
24,2,5,3,4,4,4,4,3.8
24,3,5,4,4,3,4,3,3.6
25,1,5,3,5,4,3,4,3.8
25,2,5,4,2,3,3,4,3.2
25,3,5,2,4,4,4,3,3.4
26,1,6,5,4,3,3,5,4.0
26,2,6,4,4,3,4,4,3.8
26,3,6,3,2,3,3,4,3.0
27,1,6,4,3,3,5,3,3.6
27,2,6,2,3,3,3,3,2.8
27,3,6,3,3,2,1,2,2.2
28,1,6,3,3,3,2,3,2.8
28,2,6,4,2,2,4,4,3.2
28,3,6,2,3,3,3,3,2.8
29,1,6,4,4,5,5,5,4.6
29,2,6,5,5,4,4,4,4.4
29,3,6,5,4,2,4,5,4.0
30,1,6,3,3,3,3,4,3.2
30,2,6,4,4,4,4,4,4.0
30,3,6,2,3,2,4,3,2.8
31,1,7,3,3,4,3,5,3.6
31,2,7,3,2,3,3,2,2.6
31,3,7,2,3,3,4,3,3.0
32,1,7,5,4,4,3,3,3.8
32,2,7,2,3,3,3,3,2.8
32,3,7,3,3,4,3,2,3.0
33,1,7,4,4,2,4,2,3.2
33,2,7,4,4,3,3,2,3.2
33,3,7,2,3,3,4,4,3.2
34,1,7,3,2,4,4,3,3.2
34,2,7,3,3,1,3,2,2.4
34,3,7,2,2,3,3,3,2.6
35,1,7,3,2,3,2,3,2.6
35,2,7,2,2,2,3,3,2.4
35,3,7,2,2,2,3,3,2.4
36,1,8,5,5,5,5,6,5.2
36,2,8,5,4,4,4,4,4.2
36,3,8,4,4,3,3,4,3.6
37,1,8,4,4,4,5,4,4.2
37,2,8,4,4,4,3,5,4.0
37,3,8,4,5,3,4,3,3.8
38,1,8,4,6,3,4,6,4.6
38,2,8,4,3,4,4,3,3.6
38,3,8,4,4,4,3,3,3.6
39,1,8,4,4,4,5,5,4.4
39,2,8,3,3,5,5,4,4.0
39,3,8,4,4,5,4,3,4.0
40,1,8,4,4,3,4,5,4.0
40,2,8,3,3,3,2,4,3.0
40,3,8,2,3,3,3,4,3.0
41,1,9,5,5,3,5,4,4.4
41,2,9,4,3,4,3,4,3.6
41,3,9,3,4,4,4,4,3.8
42,1,9,4,3,5,4,5,4.2
42,2,9,3,3,4,4,4,3.6
42,3,9,4,4,4,4,4,4.0
43,1,9,5,5,4,5,5,4.8
43,2,9,4,3,4,4,3,3.6
43,3,9,4,4,3,5,3,3.8
44,1,9,4,4,4,3,4,3.8
44,2,9,3,4,3,3,4,3.4
44,3,9,4,4,4,4,4,4.0
45,1,9,4,3,4,3,4,3.6
45,2,9,4,3,4,3,4,3.6
45,3,9,3,4,3,3,4,3.4
46,1,10,2,4,2,4,3,3.0
46,2,10,4,2,4,3,3,3.2
46,3,10,3,3,3,3,2,2.8
47,1,10,4,3,4,4,4,3.8
47,2,10,5,3,4,4,4,4.0
47,3,10,3,4,4,2,4,3.4
48,1,10,4,4,4,3,4,3.8
48,2,10,4,3,5,4,4,4.0
48,3,10,3,3,3,4,3,3.2
49,1,10,4,4,3,3,4,3.6
49,2,10,3,2,2,3,3,2.6
49,3,10,4,3,3,3,4,3.4
50,1,10,4,4,5,4,4,4.2
50,2,10,2,5,4,3,3,3.4
50,3,10,4,3,5,3,4,3.8
51,1,11,3,4,4,4,3,3.6
51,2,11,4,2,3,3,3,3.0
51,3,11,2,4,3,4,4,3.4
52,1,11,4,4,5,4,4,4.2
52,2,11,4,3,4,4,4,3.8
52,3,11,3,2,4,4,3,3.2
53,1,11,4,5,4,4,2,3.8
53,2,11,4,4,3,4,3,3.6
53,3,11,4,5,3,3,4,3.8
54,1,11,4,5,2,4,4,3.8
54,2,11,4,4,4,5,4,4.2
54,3,11,3,4,4,4,3,3.6
55,1,11,4,4,4,3,4,3.8
55,2,11,4,3,5,3,3,3.6
55,3,11,4,4,4,3,4,3.8
56,1,12,4,4,4,5,4,4.2
56,2,12,5,4,4,3,3,3.8
56,3,12,4,4,4,3,3,3.6
57,1,12,5,4,3,4,4,4.0
57,2,12,4,4,5,4,5,4.4
57,3,12,5,5,4,3,4,4.2
58,1,12,5,5,5,4,5,4.8
58,2,12,4,5,5,4,4,4.4
58,3,12,4,5,5,4,4,4.4
59,1,12,4,4,4,4,4,4.0
59,2,12,6,4,5,2,4,4.2
59,3,12,2,3,3,4,4,3.2
60,1,12,4,4,6,4,5,4.6
60,2,12,4,4,4,5,4,4.2
60,3,12,4,4,5,5,3,4.2
61,1,13,3,5,4,5,5,4.4
61,2,13,4,5,4,4,4,4.2
61,3,13,4,4,3,5,4,4.0
62,1,13,4,3,3,4,4,3.6
62,2,13,4,4,5,4,3,4.0
62,3,13,3,3,3,4,2,3.0
63,1,13,4,4,4,4,4,4.0
63,2,13,4,4,4,5,5,4.4
63,3,13,4,4,3,3,4,3.6
64,1,13,3,4,4,5,3,3.8
64,2,13,4,4,5,3,4,4.0
64,3,13,2,4,4,4,2,3.2
65,1,13,3,4,4,3,5,3.8
65,2,13,4,5,5,3,4,4.2
65,3,13,3,4,4,3,4,3.6
66,1,14,4,4,4,4,4,4.0
66,2,14,4,4,4,4,4,4.0
66,3,14,4,4,2,3,3,3.2
67,1,14,5,3,3,3,3,3.4
67,2,14,4,4,4,3,3,3.6
67,3,14,3,4,3,4,3,3.4
68,1,14,4,2,2,4,3,3.0
68,2,14,2,3,4,4,2,3.0
68,3,14,2,3,3,2,4,2.8
69,1,14,2,2,2,3,3,2.4
69,2,14,3,3,3,2,2,2.6
69,3,14,2,3,2,2,2,2.2
70,1,14,4,3,5,4,3,3.8
70,2,14,4,3,2,4,3,3.2
70,3,14,3,3,3,3,3,3.0
71,1,15,3,5,4,4,5,4.2
71,2,15,5,5,4,4,5,4.6
71,3,15,4,4,6,5,5,4.8
72,1,15,5,4,4,4,5,4.4
72,2,15,4,5,4,4,5,4.4
72,3,15,5,5,4,5,5,4.8
73,1,15,4,4,3,3,3,3.4
73,2,15,3,3,3,4,2,3.0
73,3,15,4,3,4,4,4,3.8
74,1,15,4,5,4,5,4,4.4
74,2,15,4,4,5,4,5,4.4
74,3,15,4,4,4,5,4,4.2
75,1,15,5,4,4,4,4,4.2
75,2,15,4,3,4,4,4,3.8
75,3,15,2,3,4,4,3,3.2
76,1,16,3,4,4,4,4,3.8
76,2,16,4,5,4,4,5,4.4
76,3,16,4,3,4,2,4,3.4
77,1,16,4,4,4,4,3,3.8
77,2,16,4,4,4,4,5,4.2
77,3,16,2,3,3,2,3,2.6
78,1,16,4,4,4,3,4,3.8
78,2,16,5,4,4,6,5,4.8
78,3,16,2,3,4,4,3,3.2
79,1,16,3,4,3,4,4,3.6
79,2,16,4,4,4,5,4,4.2
79,3,16,3,4,4,2,4,3.4
80,1,16,4,3,4,4,4,3.8
80,2,16,4,5,4,4,5,4.4
80,3,16,4,4,3,3,4,3.6
81,1,17,3,4,4,4,3,3.6
81,2,17,4,3,4,4,3,3.6
81,3,17,4,5,4,4,4,4.2
82,1,17,5,4,5,5,4,4.6
82,2,17,5,5,4,4,4,4.4
82,3,17,5,4,4,4,5,4.4
83,1,17,2,2,3,2,3,2.4
83,2,17,3,3,2,3,3,2.8
83,3,17,3,3,2,3,3,2.8
84,1,17,3,4,3,4,4,3.6
84,2,17,3,3,4,4,4,3.6
84,3,17,4,4,4,4,3,3.8
85,1,17,3,2,2,1,2,2.0
85,2,17,2,2,2,1,3,2.0
85,3,17,3,2,2,3,2,2.4
86,1,18,4,4,4,5,4,4.2
86,2,18,4,3,4,4,4,3.8
