n_stimuli,power_12,power_13,power_23
5,0.09042605019746552,0.08237357426580638,0.027920833466222206
10,0.13723934115908287,0.1678461993905117,0.03604225635582681
20,0.21837569018978475,0.21842745201224312,0.02741107106827967
30,0.25092780653664803,0.24025625908960413,0.026238758730902423
40,0.29291706051308664,0.26396318649728223,0.031087071147241407
50,0.28719542211075977,0.26323276190265776,0.026114432098929274
60,0.36335173658714126,0.3271124928920002,0.03624530063621234
70,0.31813687508677024,0.36454887792675594,0.040871018405020165
80,0.379212308985442,0.3680005644747357,0.028684103682582784
90,0.3755026328136628,0.38514230862461907,0.025580452401383735
100,0.3896471402447521,0.34179218253779986,0.05031313987345665
110,0.39905921004710243,0.3878435565790602,0.03338935728978476
120,0.37691364571327235,0.40254475101738196,0.03359788868564406
130,0.359052477262637,0.3628630935639079,0.029106463945241523
