n_stimuli,power_12,power_13,power_23
5,0.03029176924268484,0.05630314406899517,0.04850789863692717
10,0.07688016459727187,0.06781051306180941,0.026532277128337056
20,0.06303758864395426,0.0494729541985639,0.03845668386494694
30,0.055495346385202704,0.06760595397843772,0.031961193462976656
40,0.0540770474126665,0.05810136644884745,0.03049636122493904
50,0.0426208875763352,0.040664875040426374,0.027071888845068837
60,0.05584133424272841,0.06102821167252159,0.0302096583403213
70,0.05233867487385224,0.04760841502011126,0.029002541985355568
80,0.0504439821549757,0.0491731790940142,0.025148878310971345
90,0.060377661318240294,0.06639399050639427,0.02943419991517071
100,0.059644910707925436,0.04572424362570948,0.03482270511399166
110,0.047393917263529595,0.04600191159365474,0.026913605277659736
120,0.05566368320027493,0.057423696664297474,0.02657976718566679
130,0.04831823331155116,0.04415715005801779,0.027107900711988875
